dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;visibility;verVisibility;minVisibility;dirMinVisibility;CAVOK;temperature;dewPoint;qnh;unitPressure;variable;direction;knots;gustyWind;maxKnots;oscillationFrom;oscillationTo
2019-01-01 00:00:00.000;2019-01-01 00:30:00.000;BAJA;BAJA;BAJA;4254692;NULL;NULL;NULL;NULL;1;0;-2;1031;hPa;0;340;2;0;NULL;NULL;NULL
2019-01-01 00:30:00.000;2019-01-01 01:00:00.000;BAJA;BAJA;BAJA;4254693;NULL;NULL;NULL;NULL;1;-1;-3;1031;hPa;1;NULL;2;0;NULL;NULL;NULL
2019-01-01 01:00:00.000;2019-01-01 01:30:00.000;BAJA;BAJA;BAJA;4254694;NULL;NULL;NULL;NULL;1;-2;-3;1031;hPa;1;NULL;1;0;NULL;NULL;NULL
2019-01-01 01:30:00.000;2019-01-01 02:00:00.000;BAJA;BAJA;BAJA;4254695;NULL;NULL;NULL;NULL;1;-2;-3;1030;hPa;0;360;2;0;NULL;NULL;NULL
2019-01-01 02:00:00.000;2019-01-01 02:30:00.000;BAJA;BAJA;BAJA;4254696;NULL;NULL;NULL;NULL;1;-2;-3;1031;hPa;0;360;3;0;NULL;NULL;NULL
2019-01-01 02:30:00.000;2019-01-01 03:00:00.000;BAJA;BAJA;BAJA;4254697;NULL;NULL;NULL;NULL;1;-2;-3;1031;hPa;0;360;2;0;NULL;NULL;NULL
2019-01-01 03:00:00.000;2019-01-01 03:30:00.000;BAJA;BAJA;BAJA;4254698;NULL;NULL;NULL;NULL;1;-1;-3;1031;hPa;0;290;2;0;NULL;NULL;NULL
2019-01-01 03:30:00.000;2019-01-01 04:00:00.000;BAJA;BAJA;BAJA;4254699;NULL;NULL;NULL;NULL;1;-2;-3;1031;hPa;0;10;2;0;NULL;NULL;NULL
2019-01-01 04:00:00.000;2019-01-01 04:30:00.000;BAJA;BAJA;BAJA;4254700;NULL;NULL;NULL;NULL;1;-3;-4;1030;hPa;0;350;2;0;NULL;NULL;NULL
2019-01-01 04:30:00.000;2019-01-01 05:00:00.000;BAJA;BAJA;BAJA;4254701;NULL;NULL;NULL;NULL;1;-3;-4;1030;hPa;0;350;1;0;NULL;NULL;NULL
2019-01-01 05:00:00.000;2019-01-01 05:30:00.000;MEDIA;BAJA;BAJA;4254702;NULL;NULL;NULL;NULL;1;-3;-4;1030;hPa;0;20;3;0;NULL;NULL;NULL
2019-01-01 05:30:00.000;2019-01-01 06:00:00.000;BAJA;BAJA;BAJA;4254703;NULL;NULL;NULL;NULL;1;-3;-4;1030;hPa;0;340;2;0;NULL;NULL;NULL
2019-01-01 06:00:00.000;2019-01-01 06:30:00.000;BAJA;MEDIA;BAJA;4254704;NULL;NULL;NULL;NULL;1;-3;-4;1031;hPa;0;320;2;0;NULL;NULL;NULL
2019-01-01 06:30:00.000;2019-01-01 07:00:00.000;MEDIA;ALTA;MEDIA;4254705;NULL;NULL;NULL;NULL;1;-3;-4;1031;hPa;0;340;3;0;NULL;NULL;NULL
2019-01-01 07:00:00.000;2019-01-01 07:30:00.000;MEDIA;MEDIA;MEDIA;4254706;NULL;NULL;NULL;NULL;1;-3;-4;1031;hPa;0;10;3;0;NULL;NULL;NULL
2019-01-01 07:30:00.000;2019-01-01 08:00:00.000;MEDIA;MEDIA;MEDIA;4254707;NULL;NULL;NULL;NULL;1;-3;-4;1031;hPa;0;350;3;0;NULL;NULL;NULL
2019-01-01 08:00:00.000;2019-01-01 08:30:00.000;MEDIA;MEDIA;MEDIA;4254708;NULL;NULL;NULL;NULL;1;-3;-4;1031;hPa;0;10;3;0;NULL;NULL;NULL
2019-01-01 08:30:00.000;2019-01-01 09:00:00.000;ALTA;MEDIA;MEDIA;4254709;NULL;NULL;NULL;NULL;1;-2;-4;1032;hPa;0;350;3;0;NULL;310;10
2019-01-01 09:00:00.000;2019-01-01 09:30:00.000;ALTA;MEDIA;MEDIA;4254710;NULL;NULL;NULL;NULL;1;-1;-3;1032;hPa;0;320;3;0;NULL;NULL;NULL
2019-01-01 09:30:00.000;2019-01-01 10:00:00.000;MEDIA;MEDIA;MEDIA;4254711;NULL;NULL;NULL;NULL;1;1;-3;1032;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 10:00:00.000;2019-01-01 10:30:00.000;MEDIA;MEDIA;MEDIA;4254712;NULL;NULL;NULL;NULL;1;2;-2;1032;hPa;1;NULL;1;0;NULL;NULL;NULL
2019-01-01 10:30:00.000;2019-01-01 11:00:00.000;MEDIA;ALTA;ALTA;4254713;NULL;NULL;NULL;NULL;1;4;-2;1032;hPa;1;NULL;2;0;NULL;NULL;NULL
2019-01-01 11:00:00.000;2019-01-01 11:30:00.000;BAJA;ALTA;MEDIA;4254714;NULL;NULL;NULL;NULL;1;5;-2;1032;hPa;1;NULL;2;0;NULL;NULL;NULL
2019-01-01 13:00:00.000;2019-01-01 13:30:00.000;ALTA;MEDIA;MEDIA;4254718;NULL;NULL;NULL;NULL;1;12;-2;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 13:30:00.000;2019-01-01 14:00:00.000;ALTA;MEDIA;MEDIA;4254719;NULL;NULL;NULL;NULL;1;13;-3;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 14:00:00.000;2019-01-01 14:30:00.000;MEDIA;ALTA;MEDIA;4254720;NULL;NULL;NULL;NULL;1;13;-1;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 14:30:00.000;2019-01-01 15:00:00.000;MEDIA;ALTA;MEDIA;4254721;NULL;NULL;NULL;NULL;1;14;-2;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 15:00:00.000;2019-01-01 15:30:00.000;MEDIA;ALTA;MEDIA;4254722;NULL;NULL;NULL;NULL;1;13;-2;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 15:30:00.000;2019-01-01 16:00:00.000;MEDIA;ALTA;ALTA;4254723;NULL;NULL;NULL;NULL;1;14;-1;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 16:00:00.000;2019-01-01 16:30:00.000;MEDIA;MEDIA;MEDIA;4254724;NULL;NULL;NULL;NULL;1;15;-2;1030;hPa;0;0;0;0;NULL;NULL;NULL
2019-01-01 16:30:00.000;2019-01-01 17:00:00.000;MEDIA;MEDIA;MEDIA;4254725;NULL;NULL;NULL;NULL;1;13;-2;1030;hPa;0;160;3;0;NULL;100;200
2019-01-01 17:00:00.000;2019-01-01 17:30:00.000;MEDIA;MEDIA;MEDIA;4254726;NULL;NULL;NULL;NULL;1;11;-1;1030;hPa;0;200;4;0;NULL;170;250
2019-01-01 17:30:00.000;2019-01-01 18:00:00.000;ALTA;MEDIA;MEDIA;4254727;NULL;NULL;NULL;NULL;1;9;0;1030;hPa;1;NULL;2;0;NULL;NULL;NULL
