dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;noPhenDetected;recent;intensity;characteristic;phenomenon1;phenomenon2;phenomenon3
2019-01-31 22:00:00.000;2019-01-31 22:30:00.000;MEDIA;BAJA;MEDIA;4330769;0;0;Moderado;;Llovizna;NULL;NULL
2019-04-05 02:00:00.000;2019-04-05 02:30:00.000;BAJA;BAJA;BAJA;4492488;0;0;Moderado;;Llovizna;NULL;NULL
2019-04-05 03:00:00.000;2019-04-05 03:30:00.000;BAJA;BAJA;BAJA;4492490;0;0;Moderado;;Llovizna;NULL;NULL
2019-04-07 20:30:00.000;2019-04-07 21:00:00.000;ALTA;MEDIA;MEDIA;4497761;0;0;Moderado;;Llovizna;NULL;NULL
2019-04-08 05:00:00.000;2019-04-08 05:30:00.000;MEDIA;ALTA;MEDIA;4500342;0;0;Moderado;;Llovizna;NULL;NULL
2019-04-09 13:30:00.000;2019-04-09 14:00:00.000;MEDIA;ALTA;ALTA;4502977;0;1;Moderado;Chubasco(s);Lluvia;NULL;NULL
2019-04-24 23:30:00.000;2019-04-25 00:00:00.000;BAJA;BAJA;BAJA;4541215;0;0;Moderado;;Llovizna;NULL;NULL
2019-07-13 10:00:00.000;2019-07-13 10:30:00.000;MEDIA;ALTA;ALTA;4743085;0;0;En proximidades;Tormenta;NULL;NULL;NULL
2019-07-21 19:30:00.000;2019-07-21 20:00:00.000;ALTA;ALTA;ALTA;4763307;0;0;En proximidades;Tormenta;NULL;NULL;NULL
2019-07-23 19:00:00.000;2019-07-23 19:30:00.000;ALTA;ALTA;ALTA;4768385;0;0;En proximidades;Tormenta;NULL;NULL;NULL
2019-08-30 17:00:00.000;2019-08-30 17:30:00.000;ALTA;MEDIA;MEDIA;4864142;0;0;En proximidades;Tormenta;NULL;NULL;NULL
2019-09-13 14:00:00.000;2019-09-13 14:30:00.000;ALTA;ALTA;ALTA;4899504;0;1;Moderado;;Lluvia;NULL;NULL
