dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;runwayName;tendencyRVR;RVR;shear;coverage;dimCoverage;heightCoverage;frictionCoefficient
2019-01-19 15:30:00.000;2019-01-19 16:00:00.000;BAJA;ALTA;MEDIA;4299965;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 16:00:00.000;2019-01-19 16:30:00.000;MEDIA;MEDIA;MEDIA;4299966;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 16:30:00.000;2019-01-19 17:00:00.000;MEDIA;MEDIA;MEDIA;4299967;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 17:00:00.000;2019-01-19 17:30:00.000;MEDIA;MEDIA;MEDIA;4299968;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 17:30:00.000;2019-01-19 18:00:00.000;ALTA;MEDIA;MEDIA;4299969;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 18:00:00.000;2019-01-19 18:30:00.000;MEDIA;MEDIA;MEDIA;4299970;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 18:30:00.000;2019-01-19 19:00:00.000;MEDIA;MEDIA;MEDIA;4299971;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 19:00:00.000;2019-01-19 19:30:00.000;MEDIA;ALTA;MEDIA;4299973;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 19:30:00.000;2019-01-19 20:00:00.000;MEDIA;MEDIA;MEDIA;4299974;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 20:00:00.000;2019-01-19 20:30:00.000;MEDIA;MEDIA;MEDIA;4299975;ALL;NULL;NULL;0;1;9;-1;95
2019-01-19 20:30:00.000;2019-01-19 21:00:00.000;MEDIA;MEDIA;MEDIA;4299976;ALL;NULL;NULL;0;2;9;-1;95
2019-01-19 21:00:00.000;2019-01-19 21:30:00.000;MEDIA;MEDIA;MEDIA;4299977;ALL;NULL;NULL;0;2;9;-1;95
2019-01-19 21:30:00.000;2019-01-19 22:00:00.000;MEDIA;BAJA;MEDIA;4299978;ALL;NULL;NULL;0;2;9;-1;95
2019-01-19 22:00:00.000;2019-01-19 22:30:00.000;MEDIA;BAJA;BAJA;4299979;ALL;NULL;NULL;0;2;9;-1;95
2019-01-19 22:30:00.000;2019-01-19 23:00:00.000;BAJA;BAJA;BAJA;4299980;ALL;NULL;NULL;0;2;9;-1;95
2019-01-19 23:00:00.000;2019-01-19 23:30:00.000;BAJA;MEDIA;MEDIA;4299981;32R;NULL;P2000;0;NULL;NULL;NULL;NULL
2019-01-19 23:00:00.000;2019-01-19 23:30:00.000;BAJA;MEDIA;MEDIA;4299981;ALL;NULL;P2000;0;2;9;-1;95
2019-01-19 23:30:00.000;2019-01-20 00:00:00.000;BAJA;BAJA;BAJA;4299982;32R;NULL;P2000;0;NULL;NULL;NULL;NULL
2019-01-19 23:30:00.000;2019-01-20 00:00:00.000;BAJA;BAJA;BAJA;4299982;ALL;NULL;P2000;0;2;9;-1;95
