C;gamma;kernel;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
1,0;0,1;rbf;1;13,192739804585775;5,867448727289836;-2,5832088195988447;-0,008738305883764933;0,049997915249380576;-0,08578704607802982;-0,8995577321577658
10,0;0,01;rbf;2;13,865036487579346;5,860983928044637;-2,5867416499755578;-0,011186306851638092;0,04200226337547638;-0,08620183673514481;-0,9005298826504794
0,1;0,1;rbf;3;12,765510161717733;5,876956860224406;-2,5923793100788513;-0,01558548037683686;0,046856198295677554;-0,08577568114833982;-0,903270074299693
1,0;0,01;rbf;4;12,94797937075297;5,871679306030273;-2,5944503856221446;-0,017284808282659252;0,04220184910034974;-0,08629101846965077;-0,9062694823432205
10,0;0,001;rbf;5;13,120411078135172;5,855485677719116;-2,595243781045371;-0,017890309873861792;0,03990173356629678;-0,08636400444370822;-0,9067267314772635
1,0;0,001;rbf;6;12,845736265182495;5,839773495992024;-2,598124436667261;-0,020086396221106268;0,0395018139230832;-0,0864106351170741;-0,908489030696336
0,1;0,01;rbf;7;12,86901585261027;5,855178435643514;-2,5982705174039666;-0,020227737908877996;0,04062819994856067;-0,0863161877260966;-0,908236686099034
0,1;0,001;rbf;8;12,93279226620992;5,821261485417684;-2,6113238357402255;-0,030273037235601857;0,03261870821024385;-0,08729325059830166;-0,9176844489141401
0,01;0,01;rbf;9;12,954363346099854;5,837608893712361;-2,6161848489673347;-0,03411182237403435;0,028612253678387267;-0,0877737611787035;-0,9215299783086467
0,01;0,1;rbf;10;12,769809484481812;5,86949102083842;-2,6187946164800877;-0,036137018658745;0,02782576727657778;-0,0879887675696362;-0,9239225063421997
1,0;1,0;rbf;11;18,877444744110107;5,884694576263428;-2,6234360308457094;-0,039811657529774815;0,026589571095338622;-0,08855025403380008;-0,9306204661725982
10,0;0,1;rbf;12;19,542537132898968;5,862721920013428;-2,6305694782184355;-0,04648044157419965;0,0008375342995989484;-0,09223803161704008;-0,9481803680109125
0,1;1,0;rbf;13;13,085727453231812;5,896798372268677;-2,636240112815216;-0,04972450905216904;0,0177651214844952;-0,08957804367191763;-0,9392124044724856
0,01;0,001;rbf;14;12,993200620015463;5,681113560994466;-2,63832628700404;-0,051434445780327964;0,008634332616442345;-0,09021705630668615;-0,9403517708847197
0,01;1,0;rbf;15;12,997570117314657;5,882892370223999;-2,645148941306777;-0,056777177472103015;0,00387696576449074;-0,09090129227274503;-0,9464365539322649
10,0;1,0;rbf;16;85,83913620313008;5,847886244455974;-2,673762578375838;-0,0802339792984396;-0,06940607984434181;-0,09770799180955309;-0,9716227861953772
