C;gamma;kernel;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
1,0;0,1;rbf;1;11,358174959818522;4,380431493123372;-2,5875920083779076;-0,012346937623441226;0,046027613008541524;-0,08620209523837337;-0,9022571354071959
0,1;0,1;rbf;2;11,076936801274618;4,390237013498942;-2,597490000306102;-0,019730521940769557;0,04176725283414651;-0,08641404887764241;-0,9074391517370802
10,0;0,01;rbf;3;11,893537203470865;4,3885782559712725;-2,6021019776383487;-0,023491318992182635;0,03370330223965168;-0,08743527898774693;-0,9130864746439536
1,0;1,0;rbf;4;12,48749852180481;4,380676190058391;-2,604979243352144;-0,02583609804607338;0,03885444420188248;-0,08736522028734221;-0,9177006956511549
10,0;0,1;rbf;5;14,293941736221313;4,390812317530314;-2,609050289282403;-0,029835241593197465;0,021234896634935496;-0,0896596045915498;-0,9265083061913195
1,0;0,01;rbf;6;11,265345096588135;4,387548128763835;-2,6109444796324617;-0,030405233965057194;0,028335819057998275;-0,08809495785803029;-0,9199278352041741
0,1;1,0;rbf;7;11,206740935643515;4,392011324564616;-2,6119493153647304;-0,030741887422523668;0,03647396681674223;-0,087314818625427;-0,9192130842912881
0,1;0,01;rbf;8;11,20862603187561;4,3877185980478925;-2,617385193705257;-0,03536405158768444;0,024064397745134358;-0,08832510046991582;-0,9236618593904861
0,01;0,1;rbf;9;11,131266355514526;4,396371523539226;-2,621355132462806;-0,03824902685940771;0,02408290780234079;-0,08843273796747499;-0,9260903380447528
10,0;0,001;rbf;10;11,381632566452026;4,3581273555755615;-2,621934288754503;-0,03931919306422338;0,01921574329688765;-0,0895268964157032;-0,9323891281400244
1,0;0,001;rbf;11;11,26725443204244;4,351126511891683;-2,6242698586082227;-0,04082007880452846;0,018842658474153378;-0,08892490250636369;-0,9294381609191703
0,1;0,001;rbf;12;11,224899848302206;4,356408754984538;-2,6288733629224335;-0,04420155497245556;0,015838631893436112;-0,0892571026989961;-0,9325400093321661
0,01;0,01;rbf;13;11,254260222117106;4,385787487030029;-2,6296477288441924;-0,04481062264693062;0,015567918667204897;-0,08931336848844147;-0,9330222064221833
0,01;1,0;rbf;14;11,203925291697184;4,400335709253947;-2,635298410492968;-0,04898207379833589;0,013220844386317765;-0,08983722674659134;-0,9380260828110369
0,01;0,001;rbf;15;11,283921003341675;4,314332326253255;-2,64226277496078;-0,054572029465084736;0,004932394590015783;-0,09065990319450888;-0,943781001800469
10,0;1,0;rbf;16;48,84138480822245;4,361785173416138;-2,7052492516601867;-0,1065024966653733;-0,07670274962863315;-0,10040193155923682;-1,0103867874914263
