bootstrap;criterion;max_depth;max_features;max_leaf_nodes;min_samples_leaf;min_samples_split;n_estimators;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
True;mse;12,0;0,5;;5;15;200;1;12,37160496711731;0,1759340763092041;-1,6279845263854207;0,2272806982644545;0,22871225836055106;-0,0438366250087559;-0,3968264425173837
True;mse;12,0;0,5;;10;15;200;2;10,53677158355713;0,14458675384521485;-1,6280959260687957;0,22717499702352456;0,22848197862499045;-0,04382912980353433;-0,3969362543971688
True;mse;12,0;0,5;;10;10;200;2;12,188643884658813;0,17373046875;-1,6280959260687957;0,22717499702352456;0,22848197862499045;-0,04382912980353433;-0,3969362543971688
True;mse;12,0;0,5;;10;15;150;4;9,165626955032348;0,1310023307800293;-1,628406889890261;0,22688192000576457;0,22817945993483138;-0,04385548014757139;-0,3971204616166685
True;mse;12,0;0,5;;10;10;150;4;9,157728576660157;0,13181896209716798;-1,628406889890261;0,22688192000576457;0,22817945993483138;-0,04385548014757139;-0,3971204616166685
True;mse;12,0;0,5;;5;10;200;6;12,439705991744995;0,17890691757202148;-1,6284431478062324;0,22686451864224094;0,22827127961372265;-0,04388050001234466;-0,3971475070331867
True;mse;12,0;0,5;;5;15;150;7;9,3049307346344;0,13294787406921388;-1,6284578182510585;0,22683859458653877;0,22827184748570523;-0,04387496555296825;-0,39710032228365666
True;mse;12,0;0,5;;5;15;100;8;5,199888515472412;0,07791447639465332;-1,6285933576445384;0,2267145794524581;0,22816358914450854;-0,043882848340784195;-0,39714352594631275
True;mse;12,0;0,5;;10;10;100;9;5,120262289047242;0,07734208106994629;-1,6286493285111177;0,22663573238999968;0,2279504093112314;-0,04386452088396246;-0,39722075642366345
True;mse;12,0;0,5;;10;15;100;9;5,1228338241577145;0,07770981788635253;-1,6286493285111177;0,22663573238999968;0,2279504093112314;-0,04386452088396246;-0,39722075642366345
True;mse;12,0;0,5;;5;10;150;11;9,350994348526001;0,1354456901550293;-1,6287405301853333;0,22658719828282373;0,2279865385835226;-0,04390727019487697;-0,39732098867626975
True;mse;12,0;0,5;;5;10;100;12;5,224417400360108;0,07937102317810059;-1,6289246482843296;0,22639955988216998;0,22780987738928776;-0,04392205847601438;-0,3974245480317117
True;mse;10,0;0,5;;10;15;100;13;4,419553995132446;0,06324200630187989;-1,6290533161244363;0,22632069784263104;0,2276422819438438;-0,04392652937482157;-0,39748089837035916
True;mse;10,0;0,5;;10;10;100;13;4,424324655532837;0,06328659057617188;-1,6290533161244363;0,22632069784263104;0,2276422819438438;-0,04392652937482157;-0,39748089837035916
True;mse;10,0;0,5;;10;15;200;15;10,5306236743927;0,14094557762145996;-1,629145170082542;0,22625731886237518;0,22761364861903158;-0,04394728184584791;-0,3975705441968537
True;mse;10,0;0,5;;10;10;200;15;10,528337383270264;0,14120326042175294;-1,629145170082542;0,22625731886237518;0,22761364861903158;-0,04394728184584791;-0,3975705441968537
True;mse;10,0;0,5;;5;15;200;17;10,605280780792237;0,1404550552368164;-1,6292056055724182;0,2261995815198202;0,22768991498181199;-0,043977751476738346;-0,39762991244346263
True;mse;10,0;0,5;;5;10;200;18;10,644114065170289;0,14304780960083008;-1,62923231869699;0,22615508633194814;0,22764932769201457;-0,04396203537227929;-0,39759733047741314
True;mse;10,0;0,5;;10;15;150;19;7,903215551376343;0,1066655158996582;-1,6294958968542246;0,22592640009977147;0,22729670006830033;-0,04397857367155496;-0,3977838157213295
True;mse;10,0;0,5;;10;10;150;19;7,896117210388184;0,10757379531860352;-1,6294958968542246;0,22592640009977147;0,22729670006830033;-0,04397857367155496;-0,3977838157213295
True;mse;10,0;0,5;;5;10;100;21;4,462143135070801;0,06326026916503906;-1,6295038134816782;0,22587867467601414;0,22731398852344958;-0,043972364399590805;-0,3976796550748509
True;mse;10,0;0,5;;5;15;100;22;4,890879774093628;0,06789751052856445;-1,6296564069836041;0,2257695393887086;0,2272623232801064;-0,04400665245868283;-0,3978486582283646
True;mse;10,0;0,5;;5;10;150;23;7,293847131729126;0,10065364837646484;-1,6297015506889132;0,22571709142264362;0,22721079462011948;-0,04400777725071198;-0,3978722869468232
True;mse;10,0;0,5;;5;15;150;24;7,947148609161377;0,1066667079925537;-1,6298284427274603;0,22562766003051243;0,22713125562386932;-0,04403938686642293;-0,3980177831305284
True;mse;;0,5;;10;15;150;25;11,953465938568115;0,19544544219970703;-1,6323241195844471;0,2231309546683157;0,22460743105060094;-0,04409361353350064;-0,3990553015867629
True;mse;;0,5;;10;10;150;25;11,934987878799438;0,19573392868041992;-1,6323241195844471;0,2231309546683157;0,22460743105060094;-0,04409361353350064;-0,3990553015867629
True;mse;;0,5;;10;15;200;27;15,982543468475342;0,25752573013305663;-1,6324254416950894;0,22304076782658733;0,2245350368348312;-0,04409887642069539;-0,39913119841316186
True;mse;;0,5;;10;10;200;27;15,961467218399047;0,25961904525756835;-1,6324254416950894;0,22304076782658733;0,2245350368348312;-0,04409887642069539;-0,39913119841316186
True;mse;;0,5;;10;10;100;29;6,617557954788208;0,11559243202209472;-1,6327607686882888;0,22270241785824826;0,22417003722469947;-0,04411594443592716;-0,3992446495823939
